# omega0=1, alpha=0.05
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=200, h=0.00911928
#   t          theta(t)                 thetadot(t)       
8.344143042192074e+01 5.826706879661125e-02 -7.986710437969909e-02
8.353262324205404e+01 5.076878696091592e-02 -8.446454154875274e-02
8.362381606218734e+01 4.288385234364442e-02 -8.834163176682355e-02
8.371500888232065e+01 3.467932964100225e-02 -9.146927803598649e-02
8.380620170245395e+01 2.622464865507677e-02 -9.382474109524121e-02
8.389739452258725e+01 1.759101601717657e-02 -9.539181631107380e-02
8.398858734272055e+01 8.850813401420739e-03 -9.616095272100458e-02
8.407978016285385e+01 7.698758965714856e-05 -9.612931247584926e-02
8.417097298298715e+01 -8.657562127550483e-03 -9.530076973465688e-02
8.426216580312045e+01 -1.728059368189577e-02 -9.368584892872699e-02
8.435335862325375e+01 -2.572112359087005e-02 -9.130160319303314e-02
8.444455144338706e+01 -3.391001456699587e-02 -8.817143462867687e-02
8.453574426352036e+01 -4.178054417520899e-02 -8.432485887368038e-02
8.462693708365366e+01 -4.926894960081012e-02 -7.979721719005921e-02
8.471812990378696e+01 -5.631494391220852e-02 -7.462933989692366e-02
8.480932272392026e+01 -6.286219957549177e-02 -6.886716547386267e-02
8.490051554405356e+01 -6.885879538953921e-02 -6.256132001594596e-02
8.499170836418686e+01 -7.425762344829417e-02 -5.576666193996965e-02
8.508290118432016e+01 -7.901675318852343e-02 -4.854179692817499e-02
8.517409400445347e+01 -8.309975003553291e-02 -4.094856806529276e-02
8.526528682458677e+01 -8.647594660611879e-02 -3.305152599827961e-02
8.535647964472007e+01 -8.912066485987348e-02 -2.491738375075650e-02
8.544767246485337e+01 -9.101538800162005e-02 -1.661446058346528e-02
8.553886528498667e+01 -9.214788132653433e-02 -8.212119035721534e-03
8.563005810511997e+01 -9.251226156520027e-02 2.198009633687533e-04
8.572125092525327e+01 -9.210901463039535e-02 8.611547239239148e-03
8.581244374538657e+01 -9.094496199455386e-02 1.689401626228478e-02
